Node,Group,Layer,Metric,Value
127,Control,MULTILAYER,Degree_mean,146.7
127,Control,MULTINEXT,Degree_mean,146.7
127,EM,MULTILAYER,Degree_mean,146.02758620689656
127,EM,MULTINEXT,Degree_mean,146.02758620689656
128,Control,MULTILAYER,Degree_mean,146.9
128,Control,MULTINEXT,Degree_mean,146.9
128,EM,MULTILAYER,Degree_mean,146.01379310344828
128,EM,MULTINEXT,Degree_mean,146.01379310344828
129,Control,MULTILAYER,Degree_mean,145.8
129,Control,MULTINEXT,Degree_mean,145.8
129,EM,MULTILAYER,Degree_mean,145.04137931034484
129,EM,MULTINEXT,Degree_mean,145.04137931034484
130,Control,MULTILAYER,Degree_mean,145.6
130,Control,MULTINEXT,Degree_mean,145.6
130,EM,MULTILAYER,Degree_mean,145.02068965517242
130,EM,MULTINEXT,Degree_mean,145.02068965517242
131,Control,MULTILAYER,Degree_mean,137.7
131,Control,MULTINEXT,Degree_mean,137.7
131,EM,MULTILAYER,Degree_mean,137.11724137931034
131,EM,MULTINEXT,Degree_mean,137.11724137931034
132,Control,MULTILAYER,Degree_mean,149.7
132,Control,MULTINEXT,Degree_mean,149.7
132,EM,MULTILAYER,Degree_mean,148.99310344827586
132,EM,MULTINEXT,Degree_mean,148.99310344827586
133,Control,MULTILAYER,Degree_mean,149.7
133,Control,MULTINEXT,Degree_mean,149.7
133,EM,MULTILAYER,Degree_mean,148.99310344827586
